timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,grpThreads,allThreads,URL,Latency,Encoding,SampleCount,ErrorCount,Connect
1545054725551,11373,Get Página Inicial,200,OK,Thread Group 1-15,text,true,,100,100,https://homologacao.ufms.br/siscad/,1885,UTF-8,1,0,1861
1545054725624,11303,Get Página Inicial,200,OK,Thread Group 1-21,text,true,,100,100,https://homologacao.ufms.br/siscad/,2077,UTF-8,1,0,2048
1545054726410,10521,Get Página Inicial,200,OK,Thread Group 1-97,text,true,,100,100,https://homologacao.ufms.br/siscad/,3627,UTF-8,1,0,3421
1545054726174,10759,Get Página Inicial,200,OK,Thread Group 1-68,text,true,,100,100,https://homologacao.ufms.br/siscad/,3751,UTF-8,1,0,3644
1545054726360,10575,Get Página Inicial,200,OK,Thread Group 1-92,text,true,,100,100,https://homologacao.ufms.br/siscad/,3665,UTF-8,1,0,3469
1545054726317,11068,Get Página Inicial,200,OK,Thread Group 1-88,text,true,,100,100,https://homologacao.ufms.br/siscad/,3586,UTF-8,1,0,3512
1545054726005,11389,Get Página Inicial,200,OK,Thread Group 1-46,text,true,,100,100,https://homologacao.ufms.br/siscad/,2676,UTF-8,1,0,2585
1545054725927,11686,Get Página Inicial,200,OK,Thread Group 1-35,text,true,,100,100,https://homologacao.ufms.br/siscad/,2646,UTF-8,1,0,2596
1545054725600,12040,Get Página Inicial,200,OK,Thread Group 1-18,text,true,,100,100,https://homologacao.ufms.br/siscad/,1991,UTF-8,1,0,1934
1545054725871,11777,Get Página Inicial,200,OK,Thread Group 1-30,text,true,,100,100,https://homologacao.ufms.br/siscad/,2682,UTF-8,1,0,2636
1545054725702,11946,Get Página Inicial,200,OK,Thread Group 1-27,text,true,,100,100,https://homologacao.ufms.br/siscad/,2158,UTF-8,1,0,2135
1545054725875,11775,Get Página Inicial,200,OK,Thread Group 1-38,text,true,,100,100,https://homologacao.ufms.br/siscad/,2813,UTF-8,1,0,2732
1545054725802,11852,Get Página Inicial,200,OK,Thread Group 1-32,text,true,,100,100,https://homologacao.ufms.br/siscad/,2320,UTF-8,1,0,2295
1545054725572,12183,Get Página Inicial,200,OK,Thread Group 1-17,text,true,,100,100,https://homologacao.ufms.br/siscad/,1875,UTF-8,1,0,1848
1545054726166,11637,Get Página Inicial,200,OK,Thread Group 1-65,text,true,,100,100,https://homologacao.ufms.br/siscad/,3039,UTF-8,1,0,2976
1545054725637,12230,Get Página Inicial,200,OK,Thread Group 1-22,text,true,,100,100,https://homologacao.ufms.br/siscad/,2333,UTF-8,1,0,2308
1545054725901,11969,Get Página Inicial,200,OK,Thread Group 1-41,text,true,,100,100,https://homologacao.ufms.br/siscad/,2566,UTF-8,1,0,2513
1545054725879,11991,Get Página Inicial,200,OK,Thread Group 1-39,text,true,,100,100,https://homologacao.ufms.br/siscad/,2396,UTF-8,1,0,2354
1545054725824,12136,Get Página Inicial,200,OK,Thread Group 1-34,text,true,,100,100,https://homologacao.ufms.br/siscad/,2440,UTF-8,1,0,2409
1545054725798,12163,Get Página Inicial,200,OK,Thread Group 1-31,text,true,,100,100,https://homologacao.ufms.br/siscad/,2306,UTF-8,1,0,2265
1545054726126,11838,Get Página Inicial,200,OK,Thread Group 1-52,text,true,,100,100,https://homologacao.ufms.br/siscad/,2831,UTF-8,1,0,2770
1545054726141,11824,Get Página Inicial,200,OK,Thread Group 1-58,text,true,,100,100,https://homologacao.ufms.br/siscad/,2892,UTF-8,1,0,2864
1545054725896,12070,Get Página Inicial,200,OK,Thread Group 1-36,text,true,,100,100,https://homologacao.ufms.br/siscad/,2573,UTF-8,1,0,2511
1545054726155,11812,Get Página Inicial,200,OK,Thread Group 1-61,text,true,,100,100,https://homologacao.ufms.br/siscad/,2974,UTF-8,1,0,2919
1545054725892,12076,Get Página Inicial,200,OK,Thread Group 1-40,text,true,,100,100,https://homologacao.ufms.br/siscad/,2784,UTF-8,1,0,2714
1545054726139,11930,Get Página Inicial,200,OK,Thread Group 1-57,text,true,,100,100,https://homologacao.ufms.br/siscad/,2921,UTF-8,1,0,2866
1545054726188,11891,Get Página Inicial,200,OK,Thread Group 1-70,text,true,,100,100,https://homologacao.ufms.br/siscad/,3271,UTF-8,1,0,3194
1545054725803,12277,Get Página Inicial,200,OK,Thread Group 1-33,text,true,,100,100,https://homologacao.ufms.br/siscad/,2325,UTF-8,1,0,2295
1545054726134,11954,Get Página Inicial,200,OK,Thread Group 1-55,text,true,,100,100,https://homologacao.ufms.br/siscad/,3234,UTF-8,1,0,3171
1545054726147,11942,Get Página Inicial,200,OK,Thread Group 1-59,text,true,,100,100,https://homologacao.ufms.br/siscad/,2923,UTF-8,1,0,2877
1545054726192,11898,Get Página Inicial,200,OK,Thread Group 1-71,text,true,,100,100,https://homologacao.ufms.br/siscad/,3286,UTF-8,1,0,3231
1545054726203,11895,Get Página Inicial,200,OK,Thread Group 1-75,text,true,,100,100,https://homologacao.ufms.br/siscad/,3326,UTF-8,1,0,3260
1545054726212,11888,Get Página Inicial,200,OK,Thread Group 1-78,text,true,,100,100,https://homologacao.ufms.br/siscad/,3540,UTF-8,1,0,3359
1545054726295,11807,Get Página Inicial,200,OK,Thread Group 1-86,text,true,,100,100,https://homologacao.ufms.br/siscad/,3645,UTF-8,1,0,3528
1545054726171,11933,Get Página Inicial,200,OK,Thread Group 1-67,text,true,,100,100,https://homologacao.ufms.br/siscad/,3004,UTF-8,1,0,2964
1545054726178,11927,Get Página Inicial,200,OK,Thread Group 1-66,text,true,,100,100,https://homologacao.ufms.br/siscad/,3024,UTF-8,1,0,2957
1545054726131,11975,Get Página Inicial,200,OK,Thread Group 1-54,text,true,,100,100,https://homologacao.ufms.br/siscad/,2812,UTF-8,1,0,2784
1545054725698,12409,Get Página Inicial,200,OK,Thread Group 1-26,text,true,,100,100,https://homologacao.ufms.br/siscad/,2152,UTF-8,1,0,2124
1545054726113,11996,Get Página Inicial,200,OK,Thread Group 1-51,text,true,,100,100,https://homologacao.ufms.br/siscad/,2690,UTF-8,1,0,2648
1545054726183,11927,Get Página Inicial,200,OK,Thread Group 1-69,text,true,,100,100,https://homologacao.ufms.br/siscad/,3320,UTF-8,1,0,3250
1545054726165,11946,Get Página Inicial,200,OK,Thread Group 1-64,text,true,,100,100,https://homologacao.ufms.br/siscad/,2989,UTF-8,1,0,2963
1545054726138,11974,Get Página Inicial,200,OK,Thread Group 1-56,text,true,,100,100,https://homologacao.ufms.br/siscad/,2919,UTF-8,1,0,2866
1545054726161,11952,Get Página Inicial,200,OK,Thread Group 1-63,text,true,,100,100,https://homologacao.ufms.br/siscad/,3037,UTF-8,1,0,2970
1545054725933,12181,Get Página Inicial,200,OK,Thread Group 1-43,text,true,,100,100,https://homologacao.ufms.br/siscad/,2741,UTF-8,1,0,2644
1545054725888,12228,Get Página Inicial,200,OK,Thread Group 1-37,text,true,,100,100,https://homologacao.ufms.br/siscad/,2551,UTF-8,1,0,2518
1545054726224,11893,Get Página Inicial,200,OK,Thread Group 1-79,text,true,,100,100,https://homologacao.ufms.br/siscad/,3562,UTF-8,1,0,3376
1545054725929,12196,Get Página Inicial,200,OK,Thread Group 1-42,text,true,,100,100,https://homologacao.ufms.br/siscad/,2755,UTF-8,1,0,2644
1545054725686,12443,Get Página Inicial,200,OK,Thread Group 1-24,text,true,,100,100,https://homologacao.ufms.br/siscad/,2140,UTF-8,1,0,2112
1545054725938,12202,Get Página Inicial,200,OK,Thread Group 1-45,text,true,,100,100,https://homologacao.ufms.br/siscad/,2721,UTF-8,1,0,2667
1545054725792,12355,Get Página Inicial,200,OK,Thread Group 1-28,text,true,,100,100,https://homologacao.ufms.br/siscad/,2172,UTF-8,1,0,2148
1545054726522,11627,Get Página Inicial,200,OK,Thread Group 1-99,text,true,,100,100,https://homologacao.ufms.br/siscad/,3500,UTF-8,1,0,3309
1545054726233,11932,Get Página Inicial,200,OK,Thread Group 1-80,text,true,,100,100,https://homologacao.ufms.br/siscad/,3561,UTF-8,1,0,3413
1545054725798,12367,Get Página Inicial,200,OK,Thread Group 1-29,text,true,,100,100,https://homologacao.ufms.br/siscad/,2313,UTF-8,1,0,2265
1545054725884,12498,Get Página Inicial,200,OK,Thread Group 1-44,text,true,,100,100,https://homologacao.ufms.br/siscad/,2869,UTF-8,1,0,2811
1545054726074,12764,Get Página Inicial,200,OK,Thread Group 1-48,text,true,,100,100,https://homologacao.ufms.br/siscad/,2649,UTF-8,1,0,2517
1545054726201,12642,Get Página Inicial,200,OK,Thread Group 1-74,text,true,,100,100,https://homologacao.ufms.br/siscad/,3370,UTF-8,1,0,3255
1545054726193,12836,Get Página Inicial,200,OK,Thread Group 1-72,text,true,,100,100,https://homologacao.ufms.br/siscad/,3317,UTF-8,1,0,3240
1545054726066,12993,Get Página Inicial,200,OK,Thread Group 1-47,text,true,,100,100,https://homologacao.ufms.br/siscad/,2627,UTF-8,1,0,2552
1545054726200,12888,Get Página Inicial,200,OK,Thread Group 1-73,text,true,,100,100,https://homologacao.ufms.br/siscad/,3318,UTF-8,1,0,3233
1545054726788,13124,Tentativa de Login,200,OK,Thread Group 1-11,text,true,,100,100,https://homologacao.ufms.br/siscad/academico,2601,UTF-8,1,0,0
1545054726830,13085,Tentativa de Login,200,OK,Thread Group 1-12,text,true,,100,100,https://homologacao.ufms.br/siscad/academico,2683,UTF-8,1,0,0
1545054726647,13305,Tentativa de Login,200,OK,Thread Group 1-1,text,true,,100,100,https://homologacao.ufms.br/siscad/academico,2399,UTF-8,1,0,0
1545054726774,13191,Tentativa de Login,200,OK,Thread Group 1-3,text,true,,100,100,https://homologacao.ufms.br/siscad/academico,2660,UTF-8,1,0,0
1545054726789,13198,Tentativa de Login,200,OK,Thread Group 1-13,text,true,,100,100,https://homologacao.ufms.br/siscad/academico,2746,UTF-8,1,0,0
1545054726934,13066,Tentativa de Login,200,OK,Thread Group 1-4,text,true,,100,100,https://homologacao.ufms.br/siscad/academico,2473,UTF-8,1,0,0
1545054726714,13302,Tentativa de Login,200,OK,Thread Group 1-8,text,true,,100,100,https://homologacao.ufms.br/siscad/academico,2538,UTF-8,1,0,0
1545054726817,13204,Tentativa de Login,200,OK,Thread Group 1-10,text,true,,100,100,https://homologacao.ufms.br/siscad/academico,2638,UTF-8,1,0,0
1545054726870,13185,Tentativa de Login,200,OK,Thread Group 1-14,text,true,,100,100,https://homologacao.ufms.br/siscad/academico,2576,UTF-8,1,0,0
1545054726649,13471,Tentativa de Login,200,OK,Thread Group 1-2,text,true,,100,100,https://homologacao.ufms.br/siscad/academico,2241,UTF-8,1,0,0
1545054726816,13346,Tentativa de Login,200,OK,Thread Group 1-9,text,true,,100,100,https://homologacao.ufms.br/siscad/academico,2508,UTF-8,1,0,0
1545054739913,275,GET dados básicos da matrícula,200,OK,Thread Group 1-11,text,false,Não conseguiu acessar tela de matrícula,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,121,UTF-8,1,1,0
1545054739952,251,GET dados básicos da matrícula,200,OK,Thread Group 1-1,text,false,Não conseguiu acessar tela de matrícula,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,106,UTF-8,1,1,0
1545054739918,296,GET dados básicos da matrícula,200,OK,Thread Group 1-12,text,false,Não conseguiu acessar tela de matrícula,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,105,UTF-8,1,1,0
1545054729845,10393,Tentativa de Login,200,OK,Thread Group 1-6,text,true,,100,100,https://homologacao.ufms.br/siscad/academico,2153,UTF-8,1,0,844
1545054739988,257,GET dados básicos da matrícula,200,OK,Thread Group 1-13,text,false,Não conseguiu acessar tela de matrícula,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,102,UTF-8,1,1,0
1545054739965,313,GET dados básicos da matrícula,200,OK,Thread Group 1-3,text,false,Não conseguiu acessar tela de matrícula,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,121,UTF-8,1,1,0
1545054740017,265,GET dados básicos da matrícula,200,OK,Thread Group 1-8,text,false,Não conseguiu acessar tela de matrícula,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,134,UTF-8,1,1,0
1545054740002,299,GET dados básicos da matrícula,200,OK,Thread Group 1-4,text,false,Não conseguiu acessar tela de matrícula,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,135,UTF-8,1,1,0
1545054740055,266,GET dados básicos da matrícula,200,OK,Thread Group 1-14,text,false,Não conseguiu acessar tela de matrícula,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,103,UTF-8,1,1,0
1545054740021,311,GET dados básicos da matrícula,200,OK,Thread Group 1-10,text,false,Não conseguiu acessar tela de matrícula,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,117,UTF-8,1,1,0
1545054740131,272,GET dados básicos da matrícula,200,OK,Thread Group 1-2,text,false,Não conseguiu acessar tela de matrícula,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,109,UTF-8,1,1,0
1545054740162,250,GET dados básicos da matrícula,200,OK,Thread Group 1-9,text,false,Não conseguiu acessar tela de matrícula,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,95,UTF-8,1,1,0
1545054740189,289,POST dados básicos da matrícula,200,OK,Thread Group 1-11,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,126,UTF-8,1,0,0
1545054740216,273,POST dados básicos da matrícula,200,OK,Thread Group 1-12,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,127,UTF-8,1,0,0
1545054740205,313,POST dados básicos da matrícula,200,OK,Thread Group 1-1,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,106,UTF-8,1,0,0
1545054740246,311,POST dados básicos da matrícula,200,OK,Thread Group 1-13,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,134,UTF-8,1,0,0
1545054740283,281,POST dados básicos da matrícula,200,OK,Thread Group 1-8,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,99,UTF-8,1,0,0
1545054740302,269,POST dados básicos da matrícula,200,OK,Thread Group 1-4,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,97,UTF-8,1,0,0
1545054740279,292,POST dados básicos da matrícula,200,OK,Thread Group 1-3,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,95,UTF-8,1,0,0
1545054740238,341,GET dados básicos da matrícula,200,OK,Thread Group 1-6,text,false,Não conseguiu acessar tela de matrícula,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,92,UTF-8,1,1,0
1545054740323,261,POST dados básicos da matrícula,200,OK,Thread Group 1-14,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,129,UTF-8,1,0,0
1545054740413,221,POST dados básicos da matrícula,200,OK,Thread Group 1-9,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,86,UTF-8,1,0,0
1545054740404,252,POST dados básicos da matrícula,200,OK,Thread Group 1-2,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,96,UTF-8,1,0,0
1545054740497,241,Post seleção de disciplinas,200,OK,Thread Group 1-12,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,104,UTF-8,1,0,0
1545054740478,268,Post seleção de disciplinas,200,OK,Thread Group 1-11,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,99,UTF-8,1,0,0
1545054740520,259,Post seleção de disciplinas,200,OK,Thread Group 1-1,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,116,UTF-8,1,0,0
1545054740558,236,Post seleção de disciplinas,200,OK,Thread Group 1-13,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,99,UTF-8,1,0,0
1545054740565,232,Post seleção de disciplinas,200,OK,Thread Group 1-8,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,93,UTF-8,1,0,0
1545054740334,478,POST dados básicos da matrícula,200,OK,Thread Group 1-10,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,309,UTF-8,1,0,0
1545054740572,256,Post seleção de disciplinas,200,OK,Thread Group 1-3,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,111,UTF-8,1,0,0
1545054740572,260,Post seleção de disciplinas,200,OK,Thread Group 1-4,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,92,UTF-8,1,0,0
1545054740585,251,Post seleção de disciplinas,200,OK,Thread Group 1-14,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,104,UTF-8,1,0,0
1545054740580,275,POST dados básicos da matrícula,200,OK,Thread Group 1-6,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,125,UTF-8,1,0,0
1545054740635,255,Post seleção de disciplinas,200,OK,Thread Group 1-9,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,134,UTF-8,1,0,0
1545054740656,280,Post seleção de disciplinas,200,OK,Thread Group 1-2,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,121,UTF-8,1,0,0
1545054740738,256,Post revisão de seleção,200,OK,Thread Group 1-12,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,95,UTF-8,1,0,0
1545054740747,284,Post revisão de seleção,200,OK,Thread Group 1-11,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,112,UTF-8,1,0,0
1545054740797,261,Post revisão de seleção,200,OK,Thread Group 1-8,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,95,UTF-8,1,0,0
1545054740780,322,Post revisão de seleção,200,OK,Thread Group 1-1,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,113,UTF-8,1,0,0
1545054740829,282,Post revisão de seleção,200,OK,Thread Group 1-3,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,100,UTF-8,1,0,0
1545054740833,285,Post revisão de seleção,200,OK,Thread Group 1-4,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,106,UTF-8,1,0,0
1545054740795,325,Post revisão de seleção,200,OK,Thread Group 1-13,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,133,UTF-8,1,0,0
