timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1545054725984,14,Get Página Inicial-6,200,OK,Thread Group 1-8,text,true,,33646,449,100,100,https://homologacao.ufms.br/siscad/js/vendor/jquery-1.11.3.min.js,12,0,0
1545054725998,6,Get Página Inicial-7,200,OK,Thread Group 1-8,text,true,,9904,445,100,100,https://homologacao.ufms.br/siscad/js/vendor/bootstrap.min.js,5,0,0
1545054726004,4,Get Página Inicial-8,200,OK,Thread Group 1-8,text,true,,3118,432,100,100,https://homologacao.ufms.br/siscad/js/wow.min.js,3,0,0
1545054726008,2,Get Página Inicial-9,200,OK,Thread Group 1-8,text,true,,766,430,100,100,https://homologacao.ufms.br/siscad/js/login.js,2,0,0
1545054726010,4,Get Página Inicial-10,200,OK,Thread Group 1-8,text,true,,2859,437,100,100,https://homologacao.ufms.br/siscad/js/build/vendor.js,4,0,0
1545054726014,206,Get Página Inicial-11,200,OK,Thread Group 1-8,text,true,,854,418,100,100,https://cdn.ufms.br/homologacao.js,206,0,68
1545054726220,489,Get Página Inicial-12,200,OK,Thread Group 1-8,text,true,,33123,440,100,100,https://www.googletagmanager.com/gtag/js?id=UA-1179462-5,454,0,382
1545054726709,4,Get Página Inicial-13,200,OK,Thread Group 1-8,bin,true,,22975,432,100,100,https://homologacao.ufms.br/siscad/img/logo2.png,4,0,0
1545054725124,1650,Get Página Inicial,200,OK,Thread Group 1-3,text,true,,145022,6622,100,100,https://homologacao.ufms.br/siscad/,264,0,229
1545054725124,264,Get Página Inicial-0,200,OK,Thread Group 1-3,text,true,,2880,419,100,100,https://homologacao.ufms.br/siscad/,264,0,229
1545054725389,289,Get Página Inicial-1,200,OK,Thread Group 1-3,text,true,,1175,498,100,100,"https://fonts.googleapis.com/css?family=Lato:100italic,100,300italic,300,400italic,400,700italic,700,900italic,900",289,0,172
1545054725679,101,Get Página Inicial-2,200,OK,Thread Group 1-3,text,true,,21882,886,100,100,https://homologacao.ufms.br/siscad/css/vendor/bootstrap.min.css,10,0,0
1545054725781,3,Get Página Inicial-3,200,OK,Thread Group 1-3,text,true,,1680,436,100,100,https://homologacao.ufms.br/siscad/css/new_login.css,3,0,0
1545054725784,5,Get Página Inicial-4,200,OK,Thread Group 1-3,text,true,,4301,434,100,100,https://homologacao.ufms.br/siscad/css/animate.css,5,0,0
1545054725790,232,Get Página Inicial-5,200,OK,Thread Group 1-3,text,true,,5760,466,100,100,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.3.0/css/font-awesome.min.css,232,0,192
1545054726022,18,Get Página Inicial-6,200,OK,Thread Group 1-3,text,true,,33646,449,100,100,https://homologacao.ufms.br/siscad/js/vendor/jquery-1.11.3.min.js,16,0,0
1545054726040,6,Get Página Inicial-7,200,OK,Thread Group 1-3,text,true,,9904,445,100,100,https://homologacao.ufms.br/siscad/js/vendor/bootstrap.min.js,5,0,0
1545054726046,2,Get Página Inicial-8,200,OK,Thread Group 1-3,text,true,,3118,432,100,100,https://homologacao.ufms.br/siscad/js/wow.min.js,2,0,0
1545054726048,2,Get Página Inicial-9,200,OK,Thread Group 1-3,text,true,,766,430,100,100,https://homologacao.ufms.br/siscad/js/login.js,2,0,0
1545054726050,7,Get Página Inicial-10,200,OK,Thread Group 1-3,text,true,,2859,437,100,100,https://homologacao.ufms.br/siscad/js/build/vendor.js,7,0,0
1545054726057,448,Get Página Inicial-11,200,OK,Thread Group 1-3,text,true,,854,418,100,100,https://cdn.ufms.br/homologacao.js,448,0,406
1545054726505,264,Get Página Inicial-12,200,OK,Thread Group 1-3,text,true,,33222,440,100,100,https://www.googletagmanager.com/gtag/js?id=UA-1179462-5,228,0,156
1545054726769,5,Get Página Inicial-13,200,OK,Thread Group 1-3,bin,true,,22975,432,100,100,https://homologacao.ufms.br/siscad/img/logo2.png,4,0,0
1545054725292,1496,Get Página Inicial,200,OK,Thread Group 1-13,text,true,,144906,6622,100,100,https://homologacao.ufms.br/siscad/,80,0,32
1545054725235,1553,Get Página Inicial,200,OK,Thread Group 1-11,text,true,,144941,6622,100,100,https://homologacao.ufms.br/siscad/,107,0,64
1545054725235,107,Get Página Inicial-0,200,OK,Thread Group 1-11,text,true,,2880,419,100,100,https://homologacao.ufms.br/siscad/,107,0,64
1545054725343,314,Get Página Inicial-1,200,OK,Thread Group 1-11,text,true,,1175,498,100,100,"https://fonts.googleapis.com/css?family=Lato:100italic,100,300italic,300,400italic,400,700italic,700,900italic,900",314,0,218
1545054725657,92,Get Página Inicial-2,200,OK,Thread Group 1-11,text,true,,21915,886,100,100,https://homologacao.ufms.br/siscad/css/vendor/bootstrap.min.css,14,0,0
1545054725751,4,Get Página Inicial-3,200,OK,Thread Group 1-11,text,true,,1680,436,100,100,https://homologacao.ufms.br/siscad/css/new_login.css,4,0,0
1545054725755,22,Get Página Inicial-4,200,OK,Thread Group 1-11,text,true,,4301,434,100,100,https://homologacao.ufms.br/siscad/css/animate.css,22,0,0
1545054725778,269,Get Página Inicial-5,200,OK,Thread Group 1-11,text,true,,5760,466,100,100,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.3.0/css/font-awesome.min.css,269,0,219
1545054726047,16,Get Página Inicial-6,200,OK,Thread Group 1-11,text,true,,33646,449,100,100,https://homologacao.ufms.br/siscad/js/vendor/jquery-1.11.3.min.js,12,0,0
1545054726063,6,Get Página Inicial-7,200,OK,Thread Group 1-11,text,true,,9904,445,100,100,https://homologacao.ufms.br/siscad/js/vendor/bootstrap.min.js,6,0,0
1545054726069,3,Get Página Inicial-8,200,OK,Thread Group 1-11,text,true,,3118,432,100,100,https://homologacao.ufms.br/siscad/js/wow.min.js,3,0,0
1545054726072,3,Get Página Inicial-9,200,OK,Thread Group 1-11,text,true,,766,430,100,100,https://homologacao.ufms.br/siscad/js/login.js,3,0,0
1545054726075,2,Get Página Inicial-10,200,OK,Thread Group 1-11,text,true,,2859,437,100,100,https://homologacao.ufms.br/siscad/js/build/vendor.js,2,0,0
1545054726078,441,Get Página Inicial-11,200,OK,Thread Group 1-11,text,true,,854,418,100,100,https://cdn.ufms.br/homologacao.js,441,0,410
1545054726520,263,Get Página Inicial-12,200,OK,Thread Group 1-11,text,true,,33108,440,100,100,https://www.googletagmanager.com/gtag/js?id=UA-1179462-5,228,0,153
1545054726783,5,Get Página Inicial-13,200,OK,Thread Group 1-11,bin,true,,22975,432,100,100,https://homologacao.ufms.br/siscad/img/logo2.png,5,0,0
1545054725292,80,Get Página Inicial-0,200,OK,Thread Group 1-13,text,true,,2880,419,100,100,https://homologacao.ufms.br/siscad/,80,0,32
1545054725373,282,Get Página Inicial-1,200,OK,Thread Group 1-13,text,true,,1175,498,100,100,"https://fonts.googleapis.com/css?family=Lato:100italic,100,300italic,300,400italic,400,700italic,700,900italic,900",282,0,189
1545054725656,96,Get Página Inicial-2,200,OK,Thread Group 1-13,text,true,,21882,886,100,100,https://homologacao.ufms.br/siscad/css/vendor/bootstrap.min.css,18,0,0
1545054725752,4,Get Página Inicial-3,200,OK,Thread Group 1-13,text,true,,1680,436,100,100,https://homologacao.ufms.br/siscad/css/new_login.css,4,0,0
1545054725756,23,Get Página Inicial-4,200,OK,Thread Group 1-13,text,true,,4301,434,100,100,https://homologacao.ufms.br/siscad/css/animate.css,23,0,0
1545054725780,269,Get Página Inicial-5,200,OK,Thread Group 1-13,text,true,,5760,466,100,100,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.3.0/css/font-awesome.min.css,269,0,221
1545054726050,14,Get Página Inicial-6,200,OK,Thread Group 1-13,text,true,,33646,449,100,100,https://homologacao.ufms.br/siscad/js/vendor/jquery-1.11.3.min.js,12,0,0
1545054726064,7,Get Página Inicial-7,200,OK,Thread Group 1-13,text,true,,9904,445,100,100,https://homologacao.ufms.br/siscad/js/vendor/bootstrap.min.js,6,0,0
1545054726071,2,Get Página Inicial-8,200,OK,Thread Group 1-13,text,true,,3118,432,100,100,https://homologacao.ufms.br/siscad/js/wow.min.js,2,0,0
1545054726074,1,Get Página Inicial-9,200,OK,Thread Group 1-13,text,true,,766,430,100,100,https://homologacao.ufms.br/siscad/js/login.js,1,0,0
1545054726076,3,Get Página Inicial-10,200,OK,Thread Group 1-13,text,true,,2859,437,100,100,https://homologacao.ufms.br/siscad/js/build/vendor.js,2,0,0
1545054726079,444,Get Página Inicial-11,200,OK,Thread Group 1-13,text,true,,854,418,100,100,https://cdn.ufms.br/homologacao.js,444,0,409
1545054726523,261,Get Página Inicial-12,200,OK,Thread Group 1-13,text,true,,33106,440,100,100,https://www.googletagmanager.com/gtag/js?id=UA-1179462-5,226,0,150
1545054726784,4,Get Página Inicial-13,200,OK,Thread Group 1-13,bin,true,,22975,432,100,100,https://homologacao.ufms.br/siscad/img/logo2.png,4,0,0
1545054725226,1577,Get Página Inicial,200,OK,Thread Group 1-9,text,true,,145148,6622,100,100,https://homologacao.ufms.br/siscad/,114,0,60
1545054725226,114,Get Página Inicial-0,200,OK,Thread Group 1-9,text,true,,2880,419,100,100,https://homologacao.ufms.br/siscad/,114,0,60
1545054725341,318,Get Página Inicial-1,200,OK,Thread Group 1-9,text,true,,1175,498,100,100,"https://fonts.googleapis.com/css?family=Lato:100italic,100,300italic,300,400italic,400,700italic,700,900italic,900",318,0,224
1545054725659,87,Get Página Inicial-2,200,OK,Thread Group 1-9,text,true,,21882,886,100,100,https://homologacao.ufms.br/siscad/css/vendor/bootstrap.min.css,12,0,0
1545054725747,6,Get Página Inicial-3,200,OK,Thread Group 1-9,text,true,,1680,436,100,100,https://homologacao.ufms.br/siscad/css/new_login.css,6,0,0
1545054725753,20,Get Página Inicial-4,200,OK,Thread Group 1-9,text,true,,4301,434,100,100,https://homologacao.ufms.br/siscad/css/animate.css,20,0,0
1545054725774,309,Get Página Inicial-5,200,OK,Thread Group 1-9,text,true,,5760,466,100,100,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.3.0/css/font-awesome.min.css,309,0,249
1545054726084,18,Get Página Inicial-6,200,OK,Thread Group 1-9,text,true,,33646,449,100,100,https://homologacao.ufms.br/siscad/js/vendor/jquery-1.11.3.min.js,17,0,0
1545054726102,6,Get Página Inicial-7,200,OK,Thread Group 1-9,text,true,,9904,445,100,100,https://homologacao.ufms.br/siscad/js/vendor/bootstrap.min.js,6,0,0
1545054726108,3,Get Página Inicial-8,200,OK,Thread Group 1-9,text,true,,3118,432,100,100,https://homologacao.ufms.br/siscad/js/wow.min.js,3,0,0
1545054726111,3,Get Página Inicial-9,200,OK,Thread Group 1-9,text,true,,766,430,100,100,https://homologacao.ufms.br/siscad/js/login.js,3,0,0
1545054726114,4,Get Página Inicial-10,200,OK,Thread Group 1-9,text,true,,2859,437,100,100,https://homologacao.ufms.br/siscad/js/build/vendor.js,4,0,0
1545054726125,415,Get Página Inicial-11,200,OK,Thread Group 1-9,text,true,,854,418,100,100,https://cdn.ufms.br/homologacao.js,415,0,391
1545054726541,256,Get Página Inicial-12,200,OK,Thread Group 1-9,text,true,,33348,440,100,100,https://www.googletagmanager.com/gtag/js?id=UA-1179462-5,220,0,142
1545054726797,6,Get Página Inicial-13,200,OK,Thread Group 1-9,bin,true,,22975,432,100,100,https://homologacao.ufms.br/siscad/img/logo2.png,6,0,0
1545054725230,1573,Get Página Inicial,200,OK,Thread Group 1-10,text,true,,145009,6622,100,100,https://homologacao.ufms.br/siscad/,129,0,57
1545054725230,129,Get Página Inicial-0,200,OK,Thread Group 1-10,text,true,,2880,419,100,100,https://homologacao.ufms.br/siscad/,129,0,57
1545054725360,255,Get Página Inicial-1,200,OK,Thread Group 1-10,text,true,,1175,498,100,100,"https://fonts.googleapis.com/css?family=Lato:100italic,100,300italic,300,400italic,400,700italic,700,900italic,900",255,0,167
1545054725615,87,Get Página Inicial-2,200,OK,Thread Group 1-10,text,true,,21882,886,100,100,https://homologacao.ufms.br/siscad/css/vendor/bootstrap.min.css,11,0,0
1545054725703,4,Get Página Inicial-3,200,OK,Thread Group 1-10,text,true,,1680,436,100,100,https://homologacao.ufms.br/siscad/css/new_login.css,4,0,0
1545054725707,11,Get Página Inicial-4,200,OK,Thread Group 1-10,text,true,,4301,434,100,100,https://homologacao.ufms.br/siscad/css/animate.css,10,0,0
1545054725719,353,Get Página Inicial-5,200,OK,Thread Group 1-10,text,true,,5760,466,100,100,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.3.0/css/font-awesome.min.css,353,0,301
1545054726073,15,Get Página Inicial-6,200,OK,Thread Group 1-10,text,true,,33646,449,100,100,https://homologacao.ufms.br/siscad/js/vendor/jquery-1.11.3.min.js,13,0,0
1545054726088,6,Get Página Inicial-7,200,OK,Thread Group 1-10,text,true,,9904,445,100,100,https://homologacao.ufms.br/siscad/js/vendor/bootstrap.min.js,5,0,0
1545054726094,3,Get Página Inicial-8,200,OK,Thread Group 1-10,text,true,,3118,432,100,100,https://homologacao.ufms.br/siscad/js/wow.min.js,3,0,0
1545054726097,5,Get Página Inicial-9,200,OK,Thread Group 1-10,text,true,,766,430,100,100,https://homologacao.ufms.br/siscad/js/login.js,5,0,0
1545054726103,2,Get Página Inicial-10,200,OK,Thread Group 1-10,text,true,,2859,437,100,100,https://homologacao.ufms.br/siscad/js/build/vendor.js,2,0,0
1545054726106,432,Get Página Inicial-11,200,OK,Thread Group 1-10,text,true,,854,418,100,100,https://cdn.ufms.br/homologacao.js,432,0,409
1545054726539,259,Get Página Inicial-12,200,OK,Thread Group 1-10,text,true,,33209,440,100,100,https://www.googletagmanager.com/gtag/js?id=UA-1179462-5,223,0,144
1545054726798,5,Get Página Inicial-13,200,OK,Thread Group 1-10,bin,true,,22975,432,100,100,https://homologacao.ufms.br/siscad/img/logo2.png,4,0,0
1545054725289,1540,Get Página Inicial,200,OK,Thread Group 1-12,text,true,,144860,6622,100,100,https://homologacao.ufms.br/siscad/,87,0,51
1545054725289,87,Get Página Inicial-0,200,OK,Thread Group 1-12,text,true,,2880,419,100,100,https://homologacao.ufms.br/siscad/,87,0,51
1545054725377,283,Get Página Inicial-1,200,OK,Thread Group 1-12,text,true,,1175,498,100,100,"https://fonts.googleapis.com/css?family=Lato:100italic,100,300italic,300,400italic,400,700italic,700,900italic,900",283,0,188
1545054725661,115,Get Página Inicial-2,200,OK,Thread Group 1-12,text,true,,21882,886,100,100,https://homologacao.ufms.br/siscad/css/vendor/bootstrap.min.css,15,0,0
1545054725776,6,Get Página Inicial-3,200,OK,Thread Group 1-12,text,true,,1680,436,100,100,https://homologacao.ufms.br/siscad/css/new_login.css,6,0,0
1545054725782,5,Get Página Inicial-4,200,OK,Thread Group 1-12,text,true,,4301,434,100,100,https://homologacao.ufms.br/siscad/css/animate.css,4,0,0
1545054725787,710,Get Página Inicial-5,200,OK,Thread Group 1-12,text,true,,5760,466,100,100,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.3.0/css/font-awesome.min.css,710,0,212
