timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname
1545054725572,12183,Get Página Inicial,200,OK,Thread Group 1-17,true,,144859,100,100,1875,1,0,CPCG-150518
1545054726166,11637,Get Página Inicial,200,OK,Thread Group 1-65,true,,144937,100,100,3039,1,0,CPCG-150518
1545054725637,12230,Get Página Inicial,200,OK,Thread Group 1-22,true,,144966,100,100,2333,1,0,CPCG-150518
1545054725901,11969,Get Página Inicial,200,OK,Thread Group 1-41,true,,144692,100,100,2566,1,0,CPCG-150518
1545054725879,11991,Get Página Inicial,200,OK,Thread Group 1-39,true,,144917,100,100,2396,1,0,CPCG-150518
1545054725824,12136,Get Página Inicial,200,OK,Thread Group 1-34,true,,144715,100,100,2440,1,0,CPCG-150518
1545054725798,12163,Get Página Inicial,200,OK,Thread Group 1-31,true,,144926,100,100,2306,1,0,CPCG-150518
1545054726126,11838,Get Página Inicial,200,OK,Thread Group 1-52,true,,144959,100,100,2831,1,0,CPCG-150518
1545054726141,11824,Get Página Inicial,200,OK,Thread Group 1-58,true,,145148,100,100,2892,1,0,CPCG-150518
1545054725896,12070,Get Página Inicial,200,OK,Thread Group 1-36,true,,144759,100,100,2573,1,0,CPCG-150518
1545054726155,11812,Get Página Inicial,200,OK,Thread Group 1-61,true,,144904,100,100,2974,1,0,CPCG-150518
1545054725892,12076,Get Página Inicial,200,OK,Thread Group 1-40,true,,144905,100,100,2784,1,0,CPCG-150518
1545054726139,11930,Get Página Inicial,200,OK,Thread Group 1-57,true,,144992,100,100,2921,1,0,CPCG-150518
1545054726188,11891,Get Página Inicial,200,OK,Thread Group 1-70,true,,144990,100,100,3271,1,0,CPCG-150518
1545054725803,12277,Get Página Inicial,200,OK,Thread Group 1-33,true,,144915,100,100,2325,1,0,CPCG-150518
1545054726134,11954,Get Página Inicial,200,OK,Thread Group 1-55,true,,144757,100,100,3234,1,0,CPCG-150518
1545054726147,11942,Get Página Inicial,200,OK,Thread Group 1-59,true,,144912,100,100,2923,1,0,CPCG-150518
1545054726192,11898,Get Página Inicial,200,OK,Thread Group 1-71,true,,144986,100,100,3286,1,0,CPCG-150518
1545054726203,11895,Get Página Inicial,200,OK,Thread Group 1-75,true,,144844,100,100,3326,1,0,CPCG-150518
1545054726212,11888,Get Página Inicial,200,OK,Thread Group 1-78,true,,145110,100,100,3540,1,0,CPCG-150518
1545054726295,11807,Get Página Inicial,200,OK,Thread Group 1-86,true,,144840,100,100,3645,1,0,CPCG-150518
1545054726171,11933,Get Página Inicial,200,OK,Thread Group 1-67,true,,144878,100,100,3004,1,0,CPCG-150518
1545054726178,11927,Get Página Inicial,200,OK,Thread Group 1-66,true,,145124,100,100,3024,1,0,CPCG-150518
1545054726131,11975,Get Página Inicial,200,OK,Thread Group 1-54,true,,144852,100,100,2812,1,0,CPCG-150518
1545054725698,12409,Get Página Inicial,200,OK,Thread Group 1-26,true,,144883,100,100,2152,1,0,CPCG-150518
1545054726113,11996,Get Página Inicial,200,OK,Thread Group 1-51,true,,144862,100,100,2690,1,0,CPCG-150518
1545054726183,11927,Get Página Inicial,200,OK,Thread Group 1-69,true,,145170,100,100,3320,1,0,CPCG-150518
1545054726165,11946,Get Página Inicial,200,OK,Thread Group 1-64,true,,144854,100,100,2989,1,0,CPCG-150518
1545054726138,11974,Get Página Inicial,200,OK,Thread Group 1-56,true,,145051,100,100,2919,1,0,CPCG-150518
1545054726161,11952,Get Página Inicial,200,OK,Thread Group 1-63,true,,144869,100,100,3037,1,0,CPCG-150518
1545054725933,12181,Get Página Inicial,200,OK,Thread Group 1-43,true,,144674,100,100,2741,1,0,CPCG-150518
1545054725888,12228,Get Página Inicial,200,OK,Thread Group 1-37,true,,145015,100,100,2551,1,0,CPCG-150518
1545054726224,11893,Get Página Inicial,200,OK,Thread Group 1-79,true,,144740,100,100,3562,1,0,CPCG-150518
1545054725929,12196,Get Página Inicial,200,OK,Thread Group 1-42,true,,144984,100,100,2755,1,0,CPCG-150518
1545054725686,12443,Get Página Inicial,200,OK,Thread Group 1-24,true,,144746,100,100,2140,1,0,CPCG-150518
1545054725938,12202,Get Página Inicial,200,OK,Thread Group 1-45,true,,144857,100,100,2721,1,0,CPCG-150518
1545054725792,12355,Get Página Inicial,200,OK,Thread Group 1-28,true,,144737,100,100,2172,1,0,CPCG-150518
1545054726522,11627,Get Página Inicial,200,OK,Thread Group 1-99,true,,145033,100,100,3500,1,0,CPCG-150518
1545054726233,11932,Get Página Inicial,200,OK,Thread Group 1-80,true,,144741,100,100,3561,1,0,CPCG-150518
1545054725798,12367,Get Página Inicial,200,OK,Thread Group 1-29,true,,144837,100,100,2313,1,0,CPCG-150518
1545054725884,12498,Get Página Inicial,200,OK,Thread Group 1-44,true,,144849,100,100,2869,1,0,CPCG-150518
1545054726074,12764,Get Página Inicial,200,OK,Thread Group 1-48,true,,145119,100,100,2649,1,0,CPCG-150518
1545054726201,12642,Get Página Inicial,200,OK,Thread Group 1-74,true,,144787,100,100,3370,1,0,CPCG-150518
1545054726066,12993,Get Página Inicial,200,OK,Thread Group 1-47,true,,145013,100,100,2627,1,0,CPCG-150518
1545054726193,12836,Get Página Inicial,200,OK,Thread Group 1-72,true,,144751,100,100,3317,1,0,CPCG-150518
1545054726200,12888,Get Página Inicial,200,OK,Thread Group 1-73,true,,144851,100,100,3318,1,0,CPCG-150518
1545054726788,13124,Tentativa de Login,200,OK,Thread Group 1-11,true,,508698,100,100,2601,1,0,CPCG-150518
1545054726830,13085,Tentativa de Login,200,OK,Thread Group 1-12,true,,508689,100,100,2683,1,0,CPCG-150518
1545054726647,13305,Tentativa de Login,200,OK,Thread Group 1-1,true,,508697,100,100,2399,1,0,CPCG-150518
1545054726774,13191,Tentativa de Login,200,OK,Thread Group 1-3,true,,508690,100,100,2660,1,0,CPCG-150518
1545054726789,13198,Tentativa de Login,200,OK,Thread Group 1-13,true,,508705,100,100,2746,1,0,CPCG-150518
1545054726934,13066,Tentativa de Login,200,OK,Thread Group 1-4,true,,508696,100,100,2473,1,0,CPCG-150518
1545054726714,13302,Tentativa de Login,200,OK,Thread Group 1-8,true,,508697,100,100,2538,1,0,CPCG-150518
1545054726817,13204,Tentativa de Login,200,OK,Thread Group 1-10,true,,508697,100,100,2638,1,0,CPCG-150518
1545054726870,13185,Tentativa de Login,200,OK,Thread Group 1-14,true,,508707,100,100,2576,1,0,CPCG-150518
1545054726649,13471,Tentativa de Login,200,OK,Thread Group 1-2,true,,508697,100,100,2241,1,0,CPCG-150518
1545054726816,13346,Tentativa de Login,200,OK,Thread Group 1-9,true,,508697,100,100,2508,1,0,CPCG-150518
1545054739913,275,GET dados básicos da matrícula,200,OK,Thread Group 1-11,false,Não conseguiu acessar tela de matrícula,14869,100,100,121,1,1,CPCG-150518
1545054739952,251,GET dados básicos da matrícula,200,OK,Thread Group 1-1,false,Não conseguiu acessar tela de matrícula,14869,100,100,106,1,1,CPCG-150518
1545054739918,296,GET dados básicos da matrícula,200,OK,Thread Group 1-12,false,Não conseguiu acessar tela de matrícula,14869,100,100,105,1,1,CPCG-150518
1545054729845,10393,Tentativa de Login,200,OK,Thread Group 1-6,true,,508698,100,100,2153,1,0,CPCG-150518
1545054739988,257,GET dados básicos da matrícula,200,OK,Thread Group 1-13,false,Não conseguiu acessar tela de matrícula,14869,100,100,102,1,1,CPCG-150518
1545054739965,313,GET dados básicos da matrícula,200,OK,Thread Group 1-3,false,Não conseguiu acessar tela de matrícula,14869,100,100,121,1,1,CPCG-150518
1545054740017,265,GET dados básicos da matrícula,200,OK,Thread Group 1-8,false,Não conseguiu acessar tela de matrícula,14869,100,100,134,1,1,CPCG-150518
1545054740002,299,GET dados básicos da matrícula,200,OK,Thread Group 1-4,false,Não conseguiu acessar tela de matrícula,14869,100,100,135,1,1,CPCG-150518
1545054740055,266,GET dados básicos da matrícula,200,OK,Thread Group 1-14,false,Não conseguiu acessar tela de matrícula,14869,100,100,103,1,1,CPCG-150518
1545054740021,311,GET dados básicos da matrícula,200,OK,Thread Group 1-10,false,Não conseguiu acessar tela de matrícula,14869,100,100,117,1,1,CPCG-150518
1545054740131,272,GET dados básicos da matrícula,200,OK,Thread Group 1-2,false,Não conseguiu acessar tela de matrícula,14869,100,100,109,1,1,CPCG-150518
1545054740162,250,GET dados básicos da matrícula,200,OK,Thread Group 1-9,false,Não conseguiu acessar tela de matrícula,14869,100,100,95,1,1,CPCG-150518
1545054740189,289,POST dados básicos da matrícula,200,OK,Thread Group 1-11,true,,14870,100,100,126,1,0,CPCG-150518
1545054740216,273,POST dados básicos da matrícula,200,OK,Thread Group 1-12,true,,14870,100,100,127,1,0,CPCG-150518
1545054740205,313,POST dados básicos da matrícula,200,OK,Thread Group 1-1,true,,14870,100,100,106,1,0,CPCG-150518
