timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1545054741121,1127,Logout,200,OK,Thread Group 1-13,true,93,93,https://homologacao.ufms.br/siscad/,958,0,0
1545054741121,1142,Logout,200,OK,Thread Group 1-14,true,92,92,https://homologacao.ufms.br/siscad/,960,0,0
1545054741413,872,Logout,200,OK,Thread Group 1-6,true,91,91,https://homologacao.ufms.br/siscad/,691,0,0
1545054742059,276,GET dados básicos da matrícula,200,OK,Thread Group 1-60,false,90,90,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,125,0,8
1545054741339,1005,Logout,200,OK,Thread Group 1-10,true,90,90,https://homologacao.ufms.br/siscad/,879,0,0
1545054742167,249,GET dados básicos da matrícula,200,OK,Thread Group 1-83,false,89,89,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,110,0,0
1545054742335,183,POST dados básicos da matrícula,200,OK,Thread Group 1-60,true,89,89,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,83,0,0
1545054742416,182,POST dados básicos da matrícula,200,OK,Thread Group 1-83,true,89,89,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,80,0,0
1545054742519,184,Post seleção de disciplinas,200,OK,Thread Group 1-60,true,89,89,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,81,0,0
1545054742599,199,Post seleção de disciplinas,200,OK,Thread Group 1-83,true,89,89,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,84,0,0
1545054734879,8031,Tentativa de Login,200,OK,Thread Group 1-62,true,89,89,https://homologacao.ufms.br/siscad/academico,5814,0,0
1545054742703,221,Post revisão de seleção,200,OK,Thread Group 1-60,true,89,89,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,88,0,0
1545054742798,255,Post revisão de seleção,200,OK,Thread Group 1-83,true,89,89,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,87,0,0
1545054742911,207,GET dados básicos da matrícula,200,OK,Thread Group 1-62,false,89,89,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,88,0,0
1545054743119,206,POST dados básicos da matrícula,200,OK,Thread Group 1-62,true,89,89,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,97,0,0
1545054741059,2390,Logout,200,OK,Thread Group 1-8,true,89,89,https://homologacao.ufms.br/siscad/,2228,0,0
1545054742925,561,Logout,200,OK,Thread Group 1-60,true,88,88,https://homologacao.ufms.br/siscad/,430,0,0
1545054743326,230,Post seleção de disciplinas,200,OK,Thread Group 1-62,true,87,87,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,116,0,0
1545054743557,222,Post revisão de seleção,200,OK,Thread Group 1-62,true,87,87,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,88,0,0
1545054743053,777,Logout,200,OK,Thread Group 1-83,true,87,87,https://homologacao.ufms.br/siscad/,635,0,0
1545054735168,8704,Tentativa de Login,200,OK,Thread Group 1-16,true,86,86,https://homologacao.ufms.br/siscad/academico,6674,0,0
1545054743873,210,GET dados básicos da matrícula,200,OK,Thread Group 1-16,false,86,86,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,94,0,9
1545054735254,8984,Tentativa de Login,200,OK,Thread Group 1-20,true,86,86,https://homologacao.ufms.br/siscad/academico,6786,0,0
1545054744084,220,POST dados básicos da matrícula,200,OK,Thread Group 1-16,true,86,86,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,92,0,0
1545054735256,9100,Tentativa de Login,200,OK,Thread Group 1-89,true,86,86,https://homologacao.ufms.br/siscad/academico,7045,0,0
1545054744240,377,GET dados básicos da matrícula,200,OK,Thread Group 1-20,false,86,86,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,113,0,0
