timeStamp;elapsed;label;responseCode;responseMessage;threadName;success;failureMessage;bytes;grpThreads;allThreads;Latency;SampleCount;ErrorCount;Hostname;;;
1544780000000;27486;Get Página Inicial;200;OK;Thread Group 1-26;true;;144714;200;200;10447;1;0;CPCG-150518;;;
1544780000000;26936;Get Página Inicial;200;OK;Thread Group 1-174;true;;144999;200;200;9908;1;0;CPCG-150518;;;
1544780000000;27242;Get Página Inicial;200;OK;Thread Group 1-110;true;;144870;200;200;6472;1;0;CPCG-150518;;;
1544780000000;27014;Get Página Inicial;200;OK;Thread Group 1-159;true;;144936;200;200;8809;1;0;CPCG-150518;;;
1544780000000;27474;Get Página Inicial;200;OK;Thread Group 1-34;true;;144668;200;200;7387;1;0;CPCG-150518;;;
1544780000000;26858;Get Página Inicial;200;OK;Thread Group 1-196;true;;145026;200;200;8528;1;0;CPCG-150518;;;
1544780000000;27492;Get Página Inicial;200;OK;Thread Group 1-30;true;;144914;200;200;8470;1;0;CPCG-150518;;;
1544780000000;27152;Get Página Inicial;200;OK;Thread Group 1-138;true;;145042;200;200;7454;1;0;CPCG-150518;;;
1544780000000;27531;Get Página Inicial;200;OK;Thread Group 1-20;true;;144845;200;200;9140;1;0;CPCG-150518;;;
1544780000000;26897;Get Página Inicial;200;OK;Thread Group 1-195;true;;144820;200;200;9804;1;0;CPCG-150518;;;
1544780000000;26937;Get Página Inicial;200;OK;Thread Group 1-189;true;;144769;200;200;8408;1;0;CPCG-150518;;;
1544780000000;27237;Get Página Inicial;200;OK;Thread Group 1-127;true;;144924;200;200;7123;1;0;CPCG-150518;;;
1544780000000;27147;Get Página Inicial;200;OK;Thread Group 1-145;true;;145063;200;200;7407;1;0;CPCG-150518;;;
1544780000000;26977;Get Página Inicial;200;OK;Thread Group 1-182;true;;144961;200;200;8353;1;0;CPCG-150518;;;
1544780000000;27058;Get Página Inicial;200;OK;Thread Group 1-191;true;;144869;200;200;11135;1;0;CPCG-150518;;;
1544780000000;27592;Get Página Inicial;200;OK;Thread Group 1-84;true;;144801;200;200;10285;1;0;CPCG-150518;;;
1544780000000;27364;Get Página Inicial;200;OK;Thread Group 1-135;true;;145070;200;200;6266;1;0;CPCG-150518;;;
