timeStamp;elapsed;label;responseCode;responseMessage;threadName;success;grpThreads;allThreads;URL;Latency;IdleTime;Connect
1,54E+12;23450;Get Página Inicial;200;OK;Thread Group 1-133;true;200;200;https://homologacao.ufms.br/siscad/;6217;0;6103
1,54E+12;23788;Get Página Inicial;200;OK;Thread Group 1-1;true;200;200;https://homologacao.ufms.br/siscad/;6605;0;6462
1,54E+12;23444;Get Página Inicial;200;OK;Thread Group 1-134;true;200;200;https://homologacao.ufms.br/siscad/;6267;0;6148
1,54E+12;23686;Get Página Inicial;200;OK;Thread Group 1-112;true;200;200;https://homologacao.ufms.br/siscad/;6375;0;6223
1,54E+12;24327;Get Página Inicial;200;OK;Thread Group 1-155;true;200;200;https://homologacao.ufms.br/siscad/;6130;0;6012
1,54E+12;24705;Get Página Inicial;200;OK;Thread Group 1-11;true;200;200;https://homologacao.ufms.br/siscad/;4947;0;4850
1,54E+12;24783;Get Página Inicial;200;OK;Thread Group 1-61;true;200;200;https://homologacao.ufms.br/siscad/;4976;0;4899
1,54E+12;24404;Get Página Inicial;200;OK;Thread Group 1-144;true;200;200;https://homologacao.ufms.br/siscad/;4618;0;4513
1,54E+12;24680;Get Página Inicial;200;OK;Thread Group 1-141;true;200;200;https://homologacao.ufms.br/siscad/;6190;0;6067
1,54E+12;25056;Get Página Inicial;200;OK;Thread Group 1-5;true;200;200;https://homologacao.ufms.br/siscad/;7332;0;7217
1,54E+12;25038;Get Página Inicial;200;OK;Thread Group 1-66;true;200;200;https://homologacao.ufms.br/siscad/;6478;0;6388
1,54E+12;25080;Get Página Inicial;200;OK;Thread Group 1-44;true;200;200;https://homologacao.ufms.br/siscad/;6527;0;6411
1,54E+12;25261;Get Página Inicial;200;OK;Thread Group 1-7;true;200;200;https://homologacao.ufms.br/siscad/;5307;0;5241
1,54E+12;25001;Get Página Inicial;200;OK;Thread Group 1-118;true;200;200;https://homologacao.ufms.br/siscad/;4758;0;4653
1,54E+12;24979;Get Página Inicial;200;OK;Thread Group 1-122;true;200;200;https://homologacao.ufms.br/siscad/;5026;0;4953
1,54E+12;25252;Get Página Inicial;200;OK;Thread Group 1-65;true;200;200;https://homologacao.ufms.br/siscad/;6525;0;6432
1,54E+12;25036;Get Página Inicial;200;OK;Thread Group 1-113;true;200;200;https://homologacao.ufms.br/siscad/;7175;0;7075
1,54E+12;25233;Get Página Inicial;200;OK;Thread Group 1-64;true;200;200;https://homologacao.ufms.br/siscad/;6464;0;6403
1,54E+12;24852;Get Página Inicial;200;OK;Thread Group 1-153;true;200;200;https://homologacao.ufms.br/siscad/;4574;0;4482
1,54E+12;24851;Get Página Inicial;200;OK;Thread Group 1-154;true;200;200;https://homologacao.ufms.br/siscad/;4586;0;4480
1,54E+12;25240;Get Página Inicial;200;OK;Thread Group 1-6;true;200;200;https://homologacao.ufms.br/siscad/;4968;0;4861
1,54E+12;24948;Get Página Inicial;200;OK;Thread Group 1-136;true;200;200;https://homologacao.ufms.br/siscad/;4678;0;4562
1,54E+12;25099;Get Página Inicial;200;OK;Thread Group 1-104;true;200;200;https://homologacao.ufms.br/siscad/;6801;0;6743
1,54E+12;25246;Get Página Inicial;200;OK;Thread Group 1-47;true;200;200;https://homologacao.ufms.br/siscad/;4962;0;4851
1,54E+12;25301;Get Página Inicial;200;OK;Thread Group 1-18;true;200;200;https://homologacao.ufms.br/siscad/;6617;0;6429
1,54E+12;25274;Get Página Inicial;200;OK;Thread Group 1-68;true;200;200;https://homologacao.ufms.br/siscad/;6486;0;6407
1,54E+12;25273;Get Página Inicial;200;OK;Thread Group 1-2;true;200;200;https://homologacao.ufms.br/siscad/;4966;0;4853
1,54E+12;25326;Get Página Inicial;200;OK;Thread Group 1-45;true;200;200;https://homologacao.ufms.br/siscad/;7477;0;7353
1,54E+12;25076;Get Página Inicial;200;OK;Thread Group 1-116;true;200;200;https://homologacao.ufms.br/siscad/;7218;0;7115
1,54E+12;25039;Get Página Inicial;200;OK;Thread Group 1-125;true;200;200;https://homologacao.ufms.br/siscad/;7158;0;7025
1,54E+12;24913;Get Página Inicial;200;OK;Thread Group 1-150;true;200;200;https://homologacao.ufms.br/siscad/;4591;0;4497
1,54E+12;24938;Get Página Inicial;200;OK;Thread Group 1-146;true;200;200;https://homologacao.ufms.br/siscad/;7007;0;6825
1,54E+12;25743;Get Página Inicial;200;OK;Thread Group 1-71;true;200;200;https://homologacao.ufms.br/siscad/;4971;0;4869
1,54E+12;25721;Get Página Inicial;200;OK;Thread Group 1-109;true;200;200;https://homologacao.ufms.br/siscad/;4765;0;4693
1,54E+12;25894;Get Página Inicial;200;OK;Thread Group 1-48;true;200;200;https://homologacao.ufms.br/siscad/;4950;0;4857
1,54E+12;25675;Get Página Inicial;200;OK;Thread Group 1-126;true;200;200;https://homologacao.ufms.br/siscad/;8438;0;8236
1,54E+12;25784;Get Página Inicial;200;OK;Thread Group 1-103;true;200;200;https://homologacao.ufms.br/siscad/;6789;0;6730
1,54E+12;26027;Get Página Inicial;200;OK;Thread Group 1-52;true;200;200;https://homologacao.ufms.br/siscad/;9039;0;8690
1,54E+12;25814;Get Página Inicial;200;OK;Thread Group 1-102;true;200;200;https://homologacao.ufms.br/siscad/;8833;0;8472
1,54E+12;25976;Get Página Inicial;200;OK;Thread Group 1-46;true;200;200;https://homologacao.ufms.br/siscad/;7573;0;7317
1,54E+12;25706;Get Página Inicial;200;OK;Thread Group 1-123;true;200;200;https://homologacao.ufms.br/siscad/;6698;0;6628
