timeStamp;elapsed;label;responseCode;responseMessage;threadName;success;failureMessage;grpThreads;allThreads;URL;Latency;SampleCount;ErrorCount;IdleTime;Connect
1,54478E+12;320;POST dados básicos da matrícula;200;OK;Thread Group 1-103;true;;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;113;1;0;0;0
1,54478E+12;387;GET dados básicos da matrícula;200;OK;Thread Group 1-52;false;Não conseguiu acessar tela de matrícula;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;154;1;1;0;0
1,54478E+12;1796;POST dados básicos da matrícula;200;OK;Thread Group 1-15;true;;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;103;1;0;0;0
1,54478E+12;1851;POST dados básicos da matrícula;200;OK;Thread Group 1-89;true;;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;138;1;0;0;0
1,54478E+12;1899;GET dados básicos da matrícula;200;OK;Thread Group 1-157;false;Não conseguiu acessar tela de matrícula;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;152;1;1;0;0
1,54478E+12;472;Post revisão de seleção;200;OK;Thread Group 1-50;true;;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F4;111;1;0;0;0
1,54478E+12;2260;GET dados básicos da matrícula;200;OK;Thread Group 1-90;false;Não conseguiu acessar tela de matrícula;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;90;1;1;0;0
1,54478E+12;2255;POST dados básicos da matrícula;200;OK;Thread Group 1-99;true;;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;191;1;0;0;0
1,54478E+12;471;Post seleção de disciplinas;200;OK;Thread Group 1-93;true;;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F3;105;1;0;0;0
1,54478E+12;485;Post seleção de disciplinas;200;OK;Thread Group 1-187;true;;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F3;119;1;0;0;0
1,54478E+12;494;POST dados básicos da matrícula;200;OK;Thread Group 1-157;true;;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;112;1;0;0;0
1,54478E+12;590;Post seleção de disciplinas;200;OK;Thread Group 1-49;true;;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F3;69;1;0;0;0
1,54478E+12;501;Post seleção de disciplinas;200;OK;Thread Group 1-89;true;;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F3;115;1;0;0;0
1,54478E+12;504;Post seleção de disciplinas;200;OK;Thread Group 1-15;true;;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F3;109;1;0;0;0
1,54478E+12;2349;POST dados básicos da matrícula;200;OK;Thread Group 1-186;true;;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;125;1;0;0;0
1,54478E+12;2221;POST dados básicos da matrícula;200;OK;Thread Group 1-129;true;;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;128;1;0;0;0
1,54478E+12;2424;POST dados básicos da matrícula;200;OK;Thread Group 1-185;true;;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;106;1;0;0;0
1,54478E+12;2583;POST dados básicos da matrícula;200;OK;Thread Group 1-170;true;;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;106;1;0;0;0
1,54478E+12;2735;GET dados básicos da matrícula;200;OK;Thread Group 1-194;false;Não conseguiu acessar tela de matrícula;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;193;1;1;0;0
1,54478E+12;36335;Tentativa de Login;200;OK;Thread Group 1-163;false;Não conseguiu logar no sistema;200;200;https://homologacao.ufms.br/siscad/login;31898;1;1;0;989
1,54478E+12;35256;Tentativa de Login;200;OK;Thread Group 1-53;false;Não conseguiu logar no sistema;200;200;https://homologacao.ufms.br/siscad/login;30625;1;1;0;0
1,54478E+12;3672;GET dados básicos da matrícula;200;OK;Thread Group 1-122;false;Não conseguiu acessar tela de matrícula;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;1524;1;1;0;1293
1,54478E+12;1532;POST dados básicos da matrícula;200;OK;Thread Group 1-117;true;;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;92;1;0;0;0
1,54478E+12;1959;GET dados básicos da matrícula;200;OK;Thread Group 1-67;false;Não conseguiu acessar tela de matrícula;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;102;1;1;0;0
1,54478E+12;5319;POST dados básicos da matrícula;200;OK;Thread Group 1-200;true;;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;86;1;0;0;0
1,54478E+12;5318;POST dados básicos da matrícula;200;OK;Thread Group 1-197;true;;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;142;1;0;0;0
1,54478E+12;5352;GET dados básicos da matrícula;200;OK;Thread Group 1-108;false;Não conseguiu acessar tela de matrícula;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;113;1;1;0;0
1,54478E+12;4294;GET dados básicos da matrícula;200;OK;Thread Group 1-65;false;Não conseguiu acessar tela de matrícula;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;147;1;1;0;0
1,54478E+12;2404;POST dados básicos da matrícula;200;OK;Thread Group 1-122;true;;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;171;1;0;0;0
1,54478E+12;4265;GET dados básicos da matrícula;200;OK;Thread Group 1-55;false;Não conseguiu acessar tela de matrícula;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;156;1;1;0;0
1,54478E+12;4327;GET dados básicos da matrícula;200;OK;Thread Group 1-40;false;Não conseguiu acessar tela de matrícula;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;167;1;1;0;0
1,54478E+12;4351;GET dados básicos da matrícula;200;OK;Thread Group 1-126;false;Não conseguiu acessar tela de matrícula;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;173;1;1;0;0
